timestamp,timeframe,strategy_name,strategy_signal,ml_prediction,ml_confidence,decision,confidence,reason,risk_assessment,model,cached,prompt_hash,error
2024-05-10 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.386218897118778,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-14 08:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.36007161655732484,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-15 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.5077555844601439,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-24 12:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.3477603875151384,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-27 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.43832807665208623,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-29 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3619152497390745,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-30 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.34895177375882835,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-31 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3593931040607612,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-02 08:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.36499008068402555,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-03 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3602778834003437,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-10 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.3725799433686888,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-11 04:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4850194660404896,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-12 16:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3450116903745779,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-20 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.34602215318023466,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-24 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4151497725228477,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-02 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3512307572742132,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-10 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.33784083023700334,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-11 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.35690571183888725,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-12 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.35603650640305556,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-14 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.39132956090689985,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-23 20:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.35974289066665033,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-25 20:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.34326332973888607,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-01 00:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3953925889259608,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-05 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.40299501965755424,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-11 16:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.35298867310965404,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-12 16:00:00+00:00,4h,ema_rsi_trend,SHORT,LONG,0.34206687359653304,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-14 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.34356785164542675,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-15 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3667390119995025,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-16 20:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3649798551426039,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-17 08:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.4585419402117263,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-18 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3611662567846392,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-20 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3780446181598496,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-20 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.36561281505474325,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-21 16:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.39123815326247574,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-28 04:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.5078068218037012,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-09-12 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3353334967205742,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-09-17 04:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.3459967200920067,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-01 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4816288184496185,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-07 00:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.4212362059800888,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-08 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.34416878482596247,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-08 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3426422347379556,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-08 20:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3699002414019907,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-12 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3539945201342043,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-22 16:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.35777510445231747,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-24 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3374878152803516,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-24 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.34640638189360523,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-27 00:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.6093703613681941,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-27 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.34585097778078927,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-11-04 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.38688283827485337,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-11-05 12:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3750700044050779,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-11-05 20:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3511481353531,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-11-11 04:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.4003042246686604,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-11-12 08:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.38628696097042714,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-11-27 12:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.36568649388388297,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-12-02 12:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3488234699446274,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-12-04 04:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3501269128213711,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-12-04 16:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3656440912113258,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-12-06 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.35406319342230425,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-12-11 08:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.3392300745706653,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-12-20 00:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.40533636201802653,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-12-26 04:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.346666836017622,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-12-31 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.33828383711951576,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-01-03 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.35391706950002816,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-01-08 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.36058264815054436,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-01-15 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.37258785896255764,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-01-21 08:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.4068951831572666,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-01-23 12:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.34404121795078013,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-01-27 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.34528427737264333,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-01-29 16:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3457013736745374,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-02-01 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4166438603805146,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-02-04 00:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.38982563797561653,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-02-10 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.35890628660489754,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-02-11 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3781818353329813,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-02-13 04:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3384128256833695,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-02-14 04:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.40123437623141617,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-02-16 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4055749384775529,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-02-19 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.348489258611101,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-02-21 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3580329234343967,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-02-26 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3771307730021581,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-03 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.36952072078704806,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-04 20:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.39097958564526775,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-07 00:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.35948512234564567,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-07 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.37175304004003606,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-16 08:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.36145933828713644,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-17 04:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.35083413685507375,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-18 00:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.366042961509207,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-20 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.353500564300021,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-21 04:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3486501874720757,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-21 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.382871645927679,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-22 20:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.4545265080669002,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-03-23 20:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.43549632150652645,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
