model,train_balanced_acc,val_accuracy,val_balanced_acc,val_f1_macro,pred_hold_share,uplift_vs_dummy,overfit_gap
random_forest,0.530017241178976,0.3926247288503254,0.396846951394023,0.39128368201833635,0.36163619460799507,0.06351361806068967,0.133170289784953
logistic_regression,0.3959139183718712,0.37217229625038734,0.3735707273307582,0.3714796517454179,0.3393244499535172,0.040237393997424875,0.022343191041112986
dummy,0.3333333333333333,0.3576076851564921,0.3333333333333333,0.17560678688275125,0.0,0.0,0.0
