metric,validation,test
total_return,0.34568673591302534,-0.10549513445846659
sharpe,1.9215600027881938,-0.913526237666573
sortino,1.6651769939227365,-0.7223494607114598
max_drawdown,0.07566565410447756,0.14537460417429926
n_trades,157.0,129.0
