timestamp,open,high,low,close,volume
2026-07-02 16:00:00+00:00,61588.7,61925.0,61107.2,61445.2,13230.041
2026-07-02 20:00:00+00:00,61445.2,61637.4,61305.7,61532.7,4931.446
2026-07-03 00:00:00+00:00,61532.7,61707.7,61210.4,61406.2,6082.743
2026-07-03 04:00:00+00:00,61406.2,61849.9,61307.9,61740.1,5496.045
2026-07-03 08:00:00+00:00,61740.1,62078.9,61466.3,61990.1,7141.083
2026-07-03 12:00:00+00:00,61990.1,62374.6,61666.6,61896.3,12350.134
2026-07-03 16:00:00+00:00,61896.3,62291.6,61881.7,62174.3,5032.466
2026-07-03 20:00:00+00:00,62174.3,62946.1,62150.0,62555.6,11679.052
2026-07-04 00:00:00+00:00,62555.6,62940.1,62375.1,62600.0,6257.765
2026-07-04 04:00:00+00:00,62600.0,62724.3,62311.8,62542.5,3942.479
2026-07-04 08:00:00+00:00,62542.5,62650.0,62386.6,62457.1,3035.545
2026-07-04 12:00:00+00:00,62457.1,63066.7,62457.1,62909.5,7086.088
2026-07-04 16:00:00+00:00,62909.5,63450.0,62754.8,63263.2,9555.765
2026-07-04 20:00:00+00:00,63263.2,63430.0,62900.1,63112.2,4276.829
2026-07-05 00:00:00+00:00,63112.2,63115.0,62560.7,62738.6,7019.27
2026-07-05 04:00:00+00:00,62738.6,63036.9,62621.6,62989.5,4735.745
2026-07-05 08:00:00+00:00,62989.5,63086.2,62389.4,62625.8,7266.9
2026-07-05 12:00:00+00:00,62625.8,62924.4,62526.8,62709.7,6058.681
2026-07-05 16:00:00+00:00,62709.7,62857.9,62569.8,62744.4,5148.995
2026-07-05 20:00:00+00:00,62744.4,63987.1,62578.8,63614.4,14981.52
2026-07-06 00:00:00+00:00,63614.4,63895.0,63103.0,63269.9,10135.176
2026-07-06 04:00:00+00:00,63269.9,63369.8,62852.7,63058.3,8288.087
2026-07-06 08:00:00+00:00,63058.3,63216.9,62438.0,62447.8,10755.114
2026-07-06 12:00:00+00:00,62447.8,63530.0,61272.5,63524.0,53207.375
2026-07-06 16:00:00+00:00,63524.0,63969.3,63358.7,63720.6,22439.649
2026-07-06 20:00:00+00:00,63720.6,64703.2,63577.7,64020.0,13495.049
2026-07-07 00:00:00+00:00,64020.0,64303.0,63111.3,63165.1,17186.838
2026-07-07 04:00:00+00:00,63165.1,63425.8,62761.6,63062.7,13425.139
2026-07-07 08:00:00+00:00,63062.7,63469.8,62953.0,63378.7,10813.67
2026-07-07 12:00:00+00:00,63378.7,64125.5,62635.5,63916.2,30384.625
2026-07-07 16:00:00+00:00,63916.2,64234.0,63354.5,63793.1,14100.419
2026-07-07 20:00:00+00:00,63793.1,63883.5,63173.1,63332.5,7372.035
2026-07-08 00:00:00+00:00,63332.5,63743.7,62496.0,62734.2,13635.357
2026-07-08 04:00:00+00:00,62734.2,62877.9,62444.1,62855.3,8299.477
2026-07-08 08:00:00+00:00,62855.3,62918.1,61680.4,62278.3,20621.838
2026-07-08 12:00:00+00:00,62278.3,62400.0,61500.0,61673.6,18144.176
2026-07-08 16:00:00+00:00,61673.6,62375.7,61661.6,62255.7,9200.172
2026-07-08 20:00:00+00:00,62255.7,62331.0,61920.0,62256.0,4760.642
2026-07-09 00:00:00+00:00,62256.0,62629.0,61667.6,61943.8,11036.95
2026-07-09 04:00:00+00:00,61943.8,63266.0,61927.6,62977.6,16411.974
2026-07-09 08:00:00+00:00,62977.6,63072.7,62583.0,62756.6,6411.571
2026-07-09 12:00:00+00:00,62756.6,63249.8,62429.1,62831.5,20662.258
2026-07-09 16:00:00+00:00,62831.5,63479.9,62524.0,63219.2,11559.845
2026-07-09 20:00:00+00:00,63219.2,63395.0,63030.8,63196.8,3919.042
2026-07-10 00:00:00+00:00,63196.8,64030.0,62890.6,63929.4,13722.444
2026-07-10 04:00:00+00:00,63929.4,64183.8,63782.1,63966.0,7178.113
2026-07-10 08:00:00+00:00,63966.0,64499.9,63962.1,64408.2,10350.839
2026-07-10 12:00:00+00:00,64408.2,64688.2,63750.1,64021.6,15590.78
2026-07-10 16:00:00+00:00,64021.6,64207.9,63713.0,63901.8,7500.633
2026-07-10 20:00:00+00:00,63901.8,64192.8,63635.0,64141.1,5047.859
2026-07-11 00:00:00+00:00,64141.1,64292.1,63942.8,64124.7,2800.985
2026-07-11 04:00:00+00:00,64124.7,64260.1,64052.2,64136.7,2546.24
2026-07-11 08:00:00+00:00,64136.7,64286.5,64122.2,64183.5,2196.815
2026-07-11 12:00:00+00:00,64183.5,64490.9,63855.5,64145.9,6463.814
2026-07-11 16:00:00+00:00,64145.9,64373.3,64057.7,64265.5,3438.391
2026-07-11 20:00:00+00:00,64265.5,64442.0,63762.6,63782.3,5473.896
2026-07-12 00:00:00+00:00,63782.3,64192.0,63660.0,64192.0,5998.619
2026-07-12 04:00:00+00:00,64192.0,64219.9,63594.3,63857.4,7331.015
2026-07-12 08:00:00+00:00,63857.4,64076.7,63730.3,63983.0,4359.37
2026-07-12 12:00:00+00:00,63983.0,64282.2,63928.1,64150.0,3898.153
2026-07-12 16:00:00+00:00,64150.0,64250.0,63975.0,64205.4,2858.11
2026-07-12 20:00:00+00:00,64205.4,64234.5,63625.1,63745.0,6168.084
2026-07-13 00:00:00+00:00,63745.0,64412.0,62700.0,62779.0,21309.857
2026-07-13 04:00:00+00:00,62779.0,63031.7,62394.5,62947.9,11955.75
2026-07-13 08:00:00+00:00,62947.9,63249.7,62811.4,62878.7,8372.131
2026-07-13 12:00:00+00:00,62878.7,62969.6,62073.0,62584.9,19589.301
2026-07-13 16:00:00+00:00,62584.9,62606.5,61777.6,62253.3,12716.58
2026-07-13 20:00:00+00:00,62253.3,62328.4,61848.0,62311.4,7199.438
2026-07-14 00:00:00+00:00,62311.4,62652.5,62235.4,62545.8,8527.22
2026-07-14 04:00:00+00:00,62545.8,62861.8,62480.6,62521.9,6246.065
2026-07-14 08:00:00+00:00,62521.9,62900.0,62464.0,62812.3,4898.792
2026-07-14 12:00:00+00:00,62812.3,65000.0,62755.0,64739.7,41047.988
2026-07-14 16:00:00+00:00,64739.7,64882.1,64251.0,64550.9,12412.85
2026-07-14 20:00:00+00:00,64550.9,65084.1,64388.5,65013.4,8557.544
2026-07-15 00:00:00+00:00,65013.4,65037.0,64460.9,64765.2,5607.93
2026-07-15 04:00:00+00:00,64765.2,65273.7,64449.1,64524.0,10954.117
2026-07-15 08:00:00+00:00,64524.0,64894.2,64524.0,64702.4,4735.025
2026-07-15 12:00:00+00:00,64702.4,65566.6,64574.4,65384.9,22023.015
2026-07-15 16:00:00+00:00,65384.9,65428.0,64687.6,64951.6,9961.406
2026-07-15 20:00:00+00:00,64951.6,65037.4,64641.5,64717.1,3506.693
2026-07-16 00:00:00+00:00,64717.1,64821.6,64337.9,64589.0,6049.674
2026-07-16 04:00:00+00:00,64589.0,64974.7,64051.2,64197.9,7686.273
2026-07-16 08:00:00+00:00,64197.9,64333.0,63848.7,64218.1,8387.44
2026-07-16 12:00:00+00:00,64218.1,64878.4,63824.0,64675.3,16680.663
2026-07-16 16:00:00+00:00,64675.3,64687.9,63952.6,64236.0,9312.307
2026-07-16 20:00:00+00:00,64236.0,64248.0,63701.8,63795.3,4694.7
2026-07-17 00:00:00+00:00,63795.3,64033.2,63351.2,63537.9,9843.575
2026-07-17 04:00:00+00:00,63537.9,63556.4,62673.1,62791.6,16299.787
